name,label,lat,long,1_s_pal,2_dz_len,3_z_devoi,4_v_init,5_v_init,6_geng_gang,8_lei_lai,9_lai_lan,10_lei_lou,12_mm,13_da_de,14_xue,15_kan,19_xu,22_zh_affric,29_rusheng_k
Yixing,YX,31.34063,119.8233,1,0,0,0.5,0.5,1,0,0,0,1,0,0,1,1,1,0
Liyang,LY,31.41691,119.48421,1,0,0,1,0.5,0,0,0,0,0,0,1,1,1,1,0.5
Jintan,JT,31.72324,119.59789,1,1,1,0,0.5,0,1,0,0,0,0,1,0,1,0,0
Danyang,DY,32.01021,119.60643,1,0,0.5,0.5,0.5,0,1,1,1,0,0,0.5,1,1,1,0
Danyang-tongjia,TJ,32.09286,119.78629,1,0,0.5,0.5,0.5,0,1,0,1,0,0,1,1,1,1,0
Jingjiang,JJ,31.98275,120.27713,0.5,0,0.5,0.5,1,0,1,0,0,0,0,0.5,0,1,0,0
Jiangyin,JY,31.92065,120.28493,0,0,0,0,0,0.5,1,1,1,1,0,1,1,0.5,0,0
Changzhou,CZ,31.81122,119.97406,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0.5,1,0.5,0
Wuxi,WX,31.49117,120.31191,0,0.5,0,0,1,0,0,0,0,0.5,0,0,1,0.5,0,0
Suzhou,SZ,31.29897,120.58528,0.5,1,0,0,1,0.5,0,1,0,0.5,0,0,1,0.5,0.5,0
Changshu,CS,31.65437,120.75248,0,0,0,0,1,0.5,1,1,1,0.5,0,1,1,0,0,0
Kunshan,KS,31.38559,120.98073,0.5,1,0,0.5,1,0.5,1,1,1,1,0,0.5,1,1,0,0
Baoshan-shuangcaodun,SC,31.40545,121.48961,0,1,0,0.5,0.5,0,1,1,1,1,0,1,1,0.5,0,0
Baoshan-luodianzhen,LD,31.39515,121.35585,0.5,1,0,0.5,0.5,0,1,1,1,1,0,1,1,1,0.5,0
Nanhui,NH,31.1143,121.57495,0.5,1,0,1,0.5,0,0,0,0,0.5,0,0.5,0.5,1,0.5,0.5
Shanghai,SH,31.23041,121.4737,0.5,1,0,0.5,0.5,0.5,0,1,0,1,0.5,1,1,1,0.5,0.5
Songjiang,SJ,31.03224,121.22774,0.5,1,0,0.5,0.5,0,1,1,0,0,0,0.5,1,1,0.5,0.5
Wujiang-lilizhen,LL,30.99427,120.71137,0,0,0.5,0.5,0.5,0,0,1,0,1,0,0.5,1,0.5,0,0
Wujiang-shengzezhen,WS,31.13867,120.64515,0,0,0,0.5,0.5,0,0,1,0,1,0,0.5,1,0.5,0,0
Jiaxing,JX,30.75392,120.75854,1,0.5,0,0.5,0.5,0.5,1,1,1,1,0,1,1,0.5,0,0.5
Huzhou,HZ,30.89434,120.08682,1,0,0,0.5,0.5,0,1,1,1,1,0,0,1,0,0.5,0
Hangzhou,HA,30.27408,120.15507,1,0,0.5,0,0.5,1,1,0.5,1,1,0.5,1,0.5,0.5,0,0
Shaoxing,SX,29.99576,120.5861,1,0,0,0.5,0.5,0,0,0,0,0.5,0,1,0.5,0.5,0,0
Zhuji,ZJ,29.70869,120.24686,1,0,0,1,0.5,0,0,0,0,1,0.5,1,1,0,1,0
Shengxian-chongrenzhen,CR,29.60348,120.708,0.5,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0
Yuyao,YY,30.03719,121.15463,1,0,0,1,0,0,0,0,0,1,0.5,1,0,0.5,0,0
Ningbo,NB,29.86833,121.54399,1,0,0,0,0.5,0,1,0,0,1,1,1,1,0.5,0.5,0
Huangyan,HY,28.65007,121.26188,1,0,0,0,1,0,0,0,0,0.5,1,0.5,1,1,1,0
Wenzhou,WZ,27.99382,120.69936,1,0,0.5,0.5,0.5,0,1,0,0,0,0,0,1,1,0,1
Quzhou,QZ,28.97008,118.85945,1,0,0.5,0,1,0,1,0,1,1,0,0,0.5,0.5,1,0
Jinhua,JH,29.07917,119.64742,0.5,0,1,0,1,1,1,0,0,0,0.5,1,0.5,1,1,0.5
Yongkang,YK,28.88855,120.04765,1,0,0.5,0,1,0,0,0,0,0,0,0,1,1,1,1